0 0 0 201 223 223 223 223 223 223 223 223 223 223 223 223 187 0 0 0
0 0 0 221 0 0 0 0 77 69 78 85 0 0 0 0 222 0 0 0
0 0 0 200 220 220 220 220 220 220 220 220 220 220 220 220 188 0 0 0

201 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 187
186 0 0 0 0 0 0 82 69 83 85 77 69 0 0 0 0 0 0 186
200 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 188

201 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 187
186 0 0 0 0 0 78 69 87 0 71 65 77 69 0 0 0 0 0 186
200 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 188

201 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 187
186 0 0 0 0 83 65 86  69 0 71 65 77 69 0 0 0 0 0 186
200 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 188

201 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 187
186 0 0 0 0 76 79 65 68 0 71 65 77 69 0 0 0 0 0 186
200 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 188

201 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 187
186 0 0 0 0  0 84 85 84 79 82 73 65 76 0 0 0 0 0 186
200 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 188

201 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 187
186 0 0 0 0 0 0 0 69 88 73 84 0 0 0 0 0 0 0 186
200 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 205 188
0 0 0 82 0 69 0 83 0 85 0 77 0 69 0 0 0
0 78 0 69 0 87 0 0 0 71 0 65 0 77 0 69 0
83 0 65 0 86 0 69 0 0 0 71 0 65 0 77 0 69
76 0 79 0 65 0 68 0 0 0 71 0 65 0 77 0 69
0 84 0 85 0 84 0 79 0 82 0 73 0 65 0 76 0
0 0 0 0 0 69 0 88 0 73 0 84 0 0 0 0 0
